id,name,lat,long,located in
G339,reb gong khyung dgon/,,,reb gong /
G1KR1699,rdo rting dgon/; 多登寺,31.20633,94.19508,Biru county; 'bri ru rdzong /; 比如县
G1KR1462,加里寺; rgya ri dgon/,28.78735,92.09557,chu gsum rdzong /; Chusum county; 曲松县
G1060,shangs 'bras spungs/,,,
G2921,kha shul dgon/,,,brag skas chus (spo bo rdzong); 波密县; spo bo rdzong /; Pome County
G314,dan tig dgon/; 丹笛寺,35.88778,102.5,kha ba drug gi dgon pa/; 化隆回族自治县; ba yan rdzong /
G3366,gzhong pa lha chu dgon/; 雄巴拉曲寺,29.64005,90.93258,stod lung bde chen rdzong /; Tolung Dechen County; 堆龙德庆县; se ma grong tsho (stod lung bde chen rdzong)
G8LS12773,nyi ma lung dgon/,,,bum thang /
G1PD108531,khang dmar dgon/,,,马尔康县; Barkham County; 'bar khams rdzong /
G1KR2068,a mchog sngags grwa/; 阿木去乎密宗院,34.80689,102.71378,bsang chu rdzong /; 夏河县
G1KR2288,zhang lis ho'u la zi/; 香力胡拉寺,36.13637,102.20786,化隆回族自治县; ba yan rdzong /
G2586,代巴寺; dad pa dgon/,32.67677,96.61373,yul shul rdzong /; 玉树县
G1KR619,格嘎寺; dge 'gab dgon/,33.23333,98.06667,ser shul rdzong /; Seshul county; 石渠县
G1KR2610,mkhar sdon sgar kha/; 归化寺,35.8828,101.0082,贵南县; mang ra rdzong /
G1KR1739,贡欧寺,31.65,94.3,Sok county; sog rdzong /; 索县
G1KR2024,bye gshong ser sde/; 木西合新寺,34.26186,101.10738,rma chu rdzong /; 玛曲县
G1723,dbang mda' dgon/; Wangda Gon Tubten Chokorling,,,mdo gong ma zhang /
G1KR1083,乐曲寺,30.88333,98.25,贡觉县; Gongjo County; go 'jo rdzong /
G1KR141,bde chen dgon/; 斯跃武寺,31.75374,101.42146,'dzam thang rdzong /; 壤塘县
G2922,seng+ge gnam rdzong /,,,brag skas chus (spo bo rdzong); 波密县; spo bo rdzong /; Pome County
G1KR328,黑金寺; a dur dgon/,29.83333,101.11667,nyag chu rdzong /; 雅江县; Nyakchu county
G1KR1879,白玛卫林寺,29.76667,95.31667,Metok county; me tog rdzong /; 墨脱县
G1724,tsha skor dgon pa/,,,mtsho nag zhang /
G1857,stong che rgya thang lha khang /,,,khri ka rdzong /; 贵德县; 同仁县; Rebkong County; reb gong rdzong /
G4048,bkra shis chos gling dgon/,,,rong brag rdzong /; Rongdrak county; 丹巴县
G1KR1738,琼扩寺,31.65,94.3,Sok county; sog rdzong /; 索县
G1KR1179,查仲德钦绕吉林寺; bde chen rab rgyas gling /,31.6,95.08334,steng chen rdzong /; Tengchen County; 丁青县
G75,'on nges gsang dar rgyas gling /,,,sne gdong rdzong /; Nedong County; 乃东县; 'on/
G1KG17132,khams rdor brag dgon/,,,sde dge rdzong /; 德格县; Derge County; lhun grub rdzong /; 林周县; Lhundrub county
G1802,果芒寺; Gomang Gon; sgo mang dgon/,32.76,100.8,班玛县; pad+ma rdzong /; Pema county; yar thang zhang /
G1KR1082,羊寺,30.88333,98.25,贡觉县; Gongjo County; go 'jo rdzong /
G511,sba mo chos sdings/,,,
G1KR2579,仍果俄康; rdzong 'go'i sngags khang /,36.10997,101.28885,khri ka rdzong /; 贵德县
G1KR2638,bu rtsa dgon pa/; 吾扎寺,32.76,100.8,班玛县; pad+ma rdzong /; Pema county
G777,a mo ri mo/,,,spungs thang bde ba can/; punakha
G4492,郎依寺; sna steng dgon/,32.8135,103.64088,zung chu rdzong /; 松潘县; shar khog
G1597,nor khog dgon pa/; 洛古寺,30.65,100.26667,nyag rong rdzong /; 新龙县; Nyakrong county
G3814,rgya shod dgon/,,,dpal yul rdzong /; Palyul county; 白玉县
G208,phug chung dgon pa/; Pugchung Gonpa Mishi Dorje Dzong,,,
G3948,rma mgrin dgon/,,,ser shul rdzong /; Seshul county; 石渠县
G3920,mtha' dmar dgon/; 塘麻寺,30.5,100.1,li thang rdzong /; 理塘县; Litang county
G1KR994,泽尼寺,31.56667,97.13333,昌都县; chab mdo rdzong /; Chamdo county
G1KR150,grub 'dzar dgon/; 周扎寺,31.79796,101.07826,'dzam thang rdzong /; 壤塘县
G72,'ba' tsag dgon/,,,
G507,dga' ldan theg chen gling /; Gandantegchenlin khiid,47.92,106.88,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар
G1KR1280,夏拉寺,29.41667,97.75,左贡县; Zogang County; mdzo sgang rdzong /
G1KR1081,索龙寺,30.88333,98.25,贡觉县; Gongjo County; go 'jo rdzong /
G1854,加卜查寺; Gyabtsa Gon Tengyeling; rgyab tsha dgon/,35.88335,101.50848,khri ka rdzong /; 贵德县
G1912,托勒寺; tho le dgon/,35.92132,100.66474,贵南县; mang ra rdzong /
G2920,rdzong leb dgon/,,,brag skas chus (spo bo rdzong); 波密县; spo bo rdzong /; Pome County
