id,name,lat_new,long_new,located in,the_geom,cartodb_id,chgis_id,altname_wylie,name_ch,name_py,town_ch,town_py,town_syl,gbcnty,cnty_ch,cnty_py,gbdist,dist_py,prov_py,orig_file,lat_old,long_old,gbtown_from_lex,gis_id_from_lex,name_wylie_from_lex,gbtown_from_tbrc,gis_id_from_tbrc,wylie_name_from_karl,normalized_wylie_name_tbrc,county,tbrc_county_g_,tbrc_county_notes,tbrc_site_g_,tbrc_site_notes,alternative_wylie_name,tbrc_phonetic,phonetic,primary_chinese_cha,alternative_chinese_cha,pinyin_name,founding,sect,gonpa_per_1000_sq_km,gonpa_per_ecumen,conv_date_1,conv_sect_1,conv_date_2,conv_sect_2,notes,problems
G339,reb gong khyung dgon/,,,reb gong /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1699,rdo rting dgon/; 多登寺,31.20633,94.19508,Biru county; 'bri ru rdzong /; 比如县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1462,加里寺; rgya ri dgon/,28.78735,92.09557,chu gsum rdzong /; Chusum county; 曲松县,0101000020E6100000A31EA2D11D0657406F8104C58FC93C40,1683.0,1462.0,,,Gyari,邱多江乡,Qiuduojiang xiang,Qiu Duo Jiang Xiang,542226.0,曲松县,Qusong Xian,5422.0,Shannan Diqu,Xizang,U_gonpa_Lex_20120622,28.78735,92.09557,542226200.0,542226105.0,rgya ri dgon,542226200.0,542226105.0,rgya ri dgon,rgya ri dgon,Chusum,G2137,chu gsum rdzong,G1KR1462,,,,Gyari,加里寺,,na,1350,Kagyu,3.316529583,3.317,1550,Gelug,x,x,,
G1060,shangs 'bras spungs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2921,kha shul dgon/,,,brag skas chus (spo bo rdzong); 波密县; spo bo rdzong /; Pome County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G314,dan tig dgon/; 丹笛寺,35.88778,102.5,kha ba drug gi dgon pa/; 化隆回族自治县; ba yan rdzong /,0101000020E61000000000000000A059407D0569C6A2F14140,2162.0,2260.0,,丹斗寺,dandou si,甘都镇,Gandu zhen,Gan Du Zhen,632127.0,化隆回族自治县,Hualong Hui Zizhixian,6321.0,Haidong Diqu,Qinghai,Qinghai_Lex_20120621,35.88778,102.5,632127102.0,6.0,dan tig shel gyi yang dgon,632127102.0,197.0,dan tig shel gyi yang dgon,,na,G1PD96109,ba yan rdzong,G314,,dan tig dgon,,Dantik,丹斗寺,丹笛寺,dandou si,911,no-sect,21.49228069,21.492,1600,g,,,,
G3366,gzhong pa lha chu dgon/; 雄巴拉曲寺,29.64005,90.93258,stod lung bde chen rdzong /; Tolung Dechen County; 堆龙德庆县; se ma grong tsho (stod lung bde chen rdzong),0101000020E6100000D5390664AFBB564008CE1951DAA33D40,2103.0,939.0,,,Zhongpa Lhachu,羊达乡,Yangda xiang,Yang Da Xiang,540125.0,堆龙德庆县,Duilongdeqing Xian,5401.0,Lhasa Shi,Xizang,U_gonpa_Lex_20120622,29.64005,90.93258,540125203.0,540125107.0,gzhong pa lha chu,540125203.0,540125107.0,gzhong pa lha chu,,Tolung Dechen,G1325,stod lung bde chen rdzong,G3366,,,,Zhongpa Lhachu,雄巴拉曲,雄巴拉曲寺,na,750,non-sect,17.98431768,17.984,x,x,x,x,,
G8LS12773,nyi ma lung dgon/,,,bum thang /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1PD108531,khang dmar dgon/,,,马尔康县; Barkham County; 'bar khams rdzong /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR2068,a mchog sngags grwa/; 阿木去乎密宗院,34.80689,102.71378,bsang chu rdzong /; 夏河县,0101000020E61000007D224F92AEAD594017BCE82B48674140,1134.0,2068.0,,,Amu Quhu Mizongyuan,阿木去乎乡,Amuquhu xiang,A Mu Qu Hu Xiang,623027.0,夏河县,Xiahe Xian,6230.0,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.80689,102.71378,623027211.0,623027118.0,a mchog sngags grwa gsang sngags dar rgyas gling,623027211.0,623027118.0,a mchog sngags grwa gsang sngags dar rgyas gling,a mchog sngags grwa gsang sngags dar rgyas gling,bsang chu,G2396,bsang chu rdzong,G1KR2068,,,,,阿木去乎密宗院,,Amu Quhu Mizongyuan,1900,Gelug,6.98031551,6.98,,,,,,
