the_geom,cartodb_id,chgis_id,altname_wylie,name_ch,name_py,town_ch,town_py,town_syl,gbcnty,cnty_ch,cnty_py,gbdist,dist_py,prov_py,orig_file,lat,long,gbtown_from_lex,gis_id_from_lex,name_wylie_from_lex,gbtown_from_tbrc,gis_id_from_tbrc,wylie_name_from_karl,normalized_wylie_name_tbrc,county,tbrc_county_g_,tbrc_county_notes,tbrc_site_g_,tbrc_site_notes,alternative_wylie_name,tbrc_phonetic,phonetic,primary_chinese_cha,alternative_chinese_cha,pinyin_name,founding,sect,gonpa_per_1000_sq_km,gonpa_per_ecumen,conv_date_1,conv_sect_1,conv_date_2,conv_sect_2,notes,problems,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54
0101000020E61000009FB0C403CABA5940672C9ACE4EAE4140,2924,2059,,,,曲奥乡,Quao xiang,Qu Ao Xiang,623027,夏河县,Xiahe Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,35.36178,102.91858,623027206,623025711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E61000000B98C0ADBBBB58406566666666264040,122,549,,,qu ou si,浪多乡,Langduo xiang,Lang Duo Xiang,513330,德格县,Dege Xian,5133,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,32.3,98.93333,513330220,152,chu ngogs dgon,513330220,152,chu ngogs dgon/,,Derge,G1539,sde dge rdzong,,,,,na,曲欧寺,,qu ou si,1649,bka' brgyud/,5.488474204,5.488,,,,,were 2 entries for this gonpa in original GIS core-periphery file by mistake. Deleted GIS ID 153 double entry from this file.,,,,,,,,,,,
0101000020E6100000DC989EB0C44358404AEF1B5F7B824040,2827,2691,,嘉那嘛呢康,jiana mani kang,结古镇,Jiegu zhen,Jie Gu Zhen,632721,玉树县,Yushu Xian,6327,Yushu Zizhizhou,Qinghai,Yu_gonpa_Lex_20120622,33.01939,97.05888,632721100,193,rgya nag ma ni khang,632721100,193,rgya nag ma ni khang,rgya nag ma ni khang,na,G2326,yul shul rdzong, ,,,,,嘉那嘛呢石经城,,jiana mani kang,1715,Sakya,7.657554177,7.658,,,,,,,,,,,,,,,,
0101000020E6100000289B7285770759403A0664AF77773F40,2480,450,,,ya wo si,沙堆乡,Shadui xiang,Sha Dui Xiang,513329,新龙县,Xinlong Xian,5133,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,31.46667,100.11667,513329200,214,yang dben dgon,513329200,214,yang dben dgon/,,Xinlong,G1246,nyag rong rdzong,DUPLICATE,,,,na,牙窝寺,,ya wo si,na,rnying ma/,5.306376938,5.306,,,,,,,,,,,,,,,,
0101000020E61000004963B48EAA0A5940C6F99B5088C83E40,115,475,,,leng bu si,博美乡,Bomei xiang,Bo Mei Xiang,513329,新龙县,Xinlong Xian,5133,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,30.78333,100.16666,513329207,185,klu 'bum dgon,513329207,185,klu 'bum dgon/,,Xinlong,G1246,nyag rong rdzong,DUPLICATE,,,,na,楞波寺,(leng bo si ?),leng bu si,na,bka' brgyud/,65.6845266,65.685,,,,,,,,,,,,,,,,
0101000020E6100000CDCCCCCCCC0C59406666666666663F40,2492,463,,,ri ba jue mu si,大盖乡,Dagai xiang,Da Gai Xiang,513329,新龙县,Xinlong Xian,5133,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,31.4,100.2,513329202,211,bde chen jo mo dgon,513329202,211,bde chen jo mo dgon/,,Xinlong,G1246,nyag rong rdzong,DUPLICATE,,,,na,日巴觉母寺,,ri ba jue mu si,1725,rnying ma/,8.500716489,8.501,,,,,Early 18th c. (18????).,,,,,,,,,,,
0101000020E610000033333333331359402C6002B7EE2E3F40,278,456,,,jia nong si,乐安乡,Lean xiang,Le An Xiang,513329,新龙县,Xinlong Xian,5133,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,31.18333,100.3,513329201,180,rgyal zhing dgon,513329201,180,rgyal zhing dgon/,,Xinlong,G1246,nyag rong rdzong,DUPLICATE,,,,na,甲农寺,,jia nong si,1575,bon po/,10.06684384,10.067,,,,,Late 16th c. (16????).,,,,,,,,,,,
0101000020E6100000F5673F5244245940F92CCF83BB7B3E40,2503,480,,,lang cun si,孜拖西乡,Zituoxi xiang,Zi Tuo Xi Xiang,513329,新龙县,Xinlong Xian,5133,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,30.48333,100.56667,513329209,202,ngas tshan dagon,513329209,202,ngas tshan dagon,nags tshan dgon,Xinlong,G1246,nyag rong rdzong,DUPLICATE,,,,na,朗村寺,,lang cun si,na,rnying ma/,7.135619586,7.136,,,,,,,,,,,,,,,,
0101000020E61000003F6F2A52612058406891ED7C3F094040,492,2807,,采久寺,caijiu si,白扎乡,Baizha xiang,Bai Zha Xiang,632725,囊谦县,Nangqian Xian,6327,Yushu Zizhizhou,Qinghai,Yu_gonpa_Lex_20120622,32.07225,96.50594,632725201,125,tshes bcu dgon 'brug mdo sngaT bshad sgrub chos 'khor gling,632725201,125,tshes bcu dgon 'brug mdo sngaT bshad sgrub chos 'khor gling,,na,G1467,nang chen rdzong,DUPLICATE,,tshes bcu dgon (nang chen rdzong ),,,采久寺,,caijiu si,na,Drugpa,6.205928213,6.206,,,,,c. 1830s became administrative center of 'Yushu 25 Tribes',,,,,,,,,,,
0101000020E6100000CDCCCCCCCCCC5840C6F99B5088483C40,1175,802,,东竹林觉母衮,Dongzhulin juemugun,奔子栏乡,Benzilan xiang,Ben Zi Lan Xiang,533422,德钦县,Deqin Xian,5334,Deqen Zizhizhou,Yunnan,Yunnan_Lex_20120622,28.28333,99.2,533422205,16,na,533422205,16,na,,Deqin,G1522,bde chen rdzong,DUPLICATE,,sbom rag dga' ldan don grub gling,,na,东竹林寺,香格里拉噶丹东竹林寺/冲冲错岗衮,Dongzhulin juemugun,na,Geluk,3.309504898,3.31,,,,,Extant or Rebuilt,,,,,,,,,,,
0101000020E6100000B81E85EB51185940D0F23CB83B2F4240,66,2489,,东格尔寺,dongge'er si,廿地乡,Niandi xiang,Nian Di Xiang,632521,共和县,Gonghe Xian,6325,Hainan Zizhizhou,Qinghai,Qinghai_Lex_20120621,36.36901,100.38,632521201,36,dung dkar bon dgon,632521201,441,dung dkar bon dgon,,na,G1698,chab cha rdzong,DUPLICATE,,dung dkar dgon gshen bstan dar rgyas gling,,Dungkar,东格尔寺,东科寺,dongge'er si,1350,b,5.094866413,5.095,,,,,,,,,,,,,,,,
0101000020E6100000F7C77BD5CA545940448B6CE7FBF54140,76,2534,,却毛寺,quemao si,河西乡,Hexi xiang,He Xi Xiang,632523,贵德县,Guide Xian,6325,Hainan Zizhizhou,Qinghai,Qinghai_Lex_20120621,35.92175,101.32488,632523201,306,khyung mo'i dgon g.yung drung phun tshogs gling ngam bon sgar bkra shis chos gling,632523201,644,khyung mo'i dgon g.yung drung phun tshogs gling ngam bon sgar bkra shis chos gling,,na,G1715,khri ka rdzong,DUPLICATE,,,,,却毛寺,,quemao si,1790,b/g,59.243461,59.243,,,,,,,,,,,,,,,,
0101000020E6100000B81E85EB51585940C893A46B26F74140,69,2536,,当车寺,dangche si,河西乡,Hexi xiang,He Xi Xiang,632523,贵德县,Guide Xian,6325,Hainan Zizhizhou,Qinghai,Qinghai_Lex_20120621,35.93086,101.38,632523201,265,stong che'i bon dgon,632523201,361,stong che'i bon dgon,,na,G1715,khri ka rdzong,DUPLICATE,,,,,当车寺,,dangche si,1766,b,59.243461,59.243,,,,,,,,,,,,,,,,
0101000020E610000000000000006059400E10CCD1E3FF4140,68,2519,,色尔加寺,se'erjia si,河阴镇,Heyin zhen,He Yin Zhen,632523,贵德县,Guide Xian,6325,Hainan Zizhizhou,Qinghai,Qinghai_Lex_20120621,35.99914,101.5,632523100,312,se kya'i bon dgon,632523100,362,se kya'i bon dgon,,na,G1715,khri ka rdzong,DUPLICATE,,,,,色尔加寺,,se'erjia si,1807,b,39.15877732,80.808,,,,,,,,,,,,,,,,
0101000020E6100000736891ED7C9D5940DF6C73637A0A4240,1905,2310,,桑加吾具寺,sangjia wuju si,初麻乡,Chuma xiang,Chu Ma Xiang,632127,化隆回族自治县,Hualong Hui Zizhixian,6321,Haidong Diqu,Qinghai,Qinghai_Lex_20120621,36.08186,102.46075,632127215,317,sang ca u cul zi,632127215,214,sang ca u cul zi,sang ca u cul zi,na,G1PD96109,ba yan rdzong,DUPLICATE,,,,,桑加吾具寺,,sangjia wuju si,1810,n,57.84526392,57.845,,,,,,,,,,,,,,,,
0101000020E61000002A52616C21A259406666666666064240,1913,2321,,土哇寺,tuwa si,金源藏族乡,Jinyuancangzu xiang,Jin Yuan Cang Zu Xiang,632127,化隆回族自治县,Hualong Hui Zizhixian,6321,Haidong Diqu,Qinghai,Qinghai_Lex_20120621,36.05,102.53329,632127216,141,mthu ba dgon bkra shis chos sde,632127216,210,mthu ba dgon bkra shis chos sde,,na,G1PD96109,ba yan rdzong,DUPLICATE,,,,,秃哇仓寺,土挖寺/徒哇寺,tuwacang si,1669,n,96.75858732,96.759,,,,,,,,,,,,,,,,
0101000020E61000009A99999999A959400000000000004240,1919,2335,,塔加寺,tajia si,塔加藏族乡,Tajiacangzu xiang,Ta Jia Cang Zu Xiang,632127,化隆回族自治县,Hualong Hui Zizhixian,6321,Haidong Diqu,Qinghai,Qinghai_Lex_20120621,36,102.65,632127217,195,tha kya dgon bkra shis bsam gtan gling,632127217,216,tha kya dgon bkra shis bsam gtan gling,,na,G1PD96109,ba yan rdzong,DUPLICATE,,,,,塔加寺,塔加寺,tajia si,1692,n,22.55617898,22.556,,,,,,,,,,,,,,,,
0101000020E61000009A99999999195640609335EA21223C40,2155,1651,,,Nye,,Changlong xiang,,542338,岗巴县,Gangba Xian,5423,Xigazi Diqu,Xizang,Tsanggonpa_Lex_20120622,28.13333,88.4,542338200,542338102,(Nye),542338200,542338102,(Nye),,Kangba,G2168,gam pa rdzong,DUPLICATE,,mchod rten nyi ma,,Nye,曲典尼玛寺,,na,1000,non-sect,2.893476657,2.893,x,x,x,x,"certainly phyi dar, possibly even Imperial era cave temple carvings, pictures in Kangba Xian Wenwuzhi, 1993",,,,,,,,,,,
0101000020E6100000AF777FBC57E35940CA6C904946024140,248,2009,,,Zhari Benjiao Si,尼傲乡,Niao xiang,Ni Ao Xiang,623024,迭部县,Diebu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.01777,103.55223,623024204,623024127,rtsa ri'i bon dgon,623024204,623024127,rtsa ri'i bon dgon,,na,G2205,the bo rdzong,DUPLICATE,,,,Tsari,扎日苯教寺,,Zhari Benjiao Si,790,Bon,10.12837718,9.088,,,,,,,,,,,,,,,,
0101000020E61000003ECBF3E0EE5E5940D39FFD4811913E40,359,368,,,hui yuan si,协德乡,Xiede xiang,Xie De Xiang,513326,道孚县,Daofu Xian,5133,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,30.56667,101.48333,513326217,465,mgar thar dagon,513326217,465,mgar thar dagon,,Daofu,G2298,rta'u rdzong,DUPLICATE,,mgar thar dgon byams pa gling,,na,慧远寺,嘎达向巴林,hui yuan si,1703,dge lugs/,5.713143086,5.713,,,,,,,,,,,,,,,,
0101000020E6100000F5673F5244E45840C5F99B5088083F40,2543,580,,,da ke si,阿察乡,Acha xiang,A Cha Xiang,513331,白玉县,Baiyu Xian,5133,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,31.03333,99.56667,513331208,361,mda' kho dagon,513331208,361,mda' kho dagon,,Baiyu,G2300,dpal yul rdzong,DUPLICATE,,mda' kho dgon (dpal yul rdzong),,na,打科寺,,da ke si,1825,rnying ma/,4.140443856,4.14,,,,,,,,,,,,,,,,
0101000020E610000072FE2614221259409999999999194040,2583,650,,,ji long si,亚龙乡,Yalong xiang,Ya Long Xiang,513333,色达县,Seda Xian,5133,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,32.2,100.28333,513333206,424,dkyil lung dgon,513333206,424,dkyil lung dgon/,,Seta,G2302,gser thar rdzong,DUPLICATE,,,,na,几龙寺,,ji long si,1832,rnying ma/,29.50722927,29.507,,,,,,,,,,,,,,,,
