tol_id,tbrc_id,branch_of,primary_name,wylie_name,tibetan_name,chinese_name,name_variants,traditions,place_types,founded_date,founded_date_approximate,founded_date_alternate,founded_century,existed_by_century,lat,long,description,wikidata_id
9,G17,,Katok,kaH thog,ཀཿ་ཐོག།,,"Katok Dorjeden; gatuo si, kaHthog rdo rje gdan, 噶陀寺; 呷拖寺 ",Nyingma,Monastery,1159,,,,,31.31398,98.9414,"<p>
	Katok is a major Nyingma monastery in Derge that was founded in 1159 by <a href=""/biographies/view/Dampa-Deshek/TBRC_p1314"">Dampa Deshek</a>. Said to be the oldest Nyingma monastery, it is known for its preservation of the <em>Kama</em>, or Spoken Word, tradition.</p>
",
10,G14,,Mindroling,smin grol gling,སྨིན་གྲོལ་གླིང་།,,"Orgyen Mindroling; minzhulin si; minzhuolin si, smin grol gling; o rgyan smin grol gling; 'og min o rgyan smin grol gling, 敏珠林寺; 敏卓林寺 ",Nyingma,Monastery,1676,,,,,29.18413,91.40525,"<p>
	Mindroling, one of the six Nyingma &quot;mother&quot; monasteries, was founded in 1676 by <a href=""/biographies/view/Terdak-Lingpa-Gyurme-Dorje/TBRC_p7"">Terdak Lingpa Gyurme Dorje</a> and his brother <a href=""/biographies/view/Lochen-Dharmaśrī/TBRC_P667"">Lochen Dharmaśrī</a>, with the sponsorship of the <a href=""/biographies/view/Fifth-Dalai-Lama/TBRC_p37"">Fifth Dalai Lama</a>. Located in Drapchi (grwa phyi) in Dranang county, it was destroyed in 1717 during the Dzungar invasion and rebuilt soon after by Terdak Lingpa&#39;s daughter <a href=""/biographies/view/Mingyur-Peldron/TBRC_P678"">Mingyur Peldron</a> with the support of <a href=""/biographies/view/Polhane/TBRC_P346"">Polhane</a>. It continues to be controlled by the <a href=""/communities/view/Nyo/TBRC_C11MS190"">Nyo</a> clan to which Terdak Lingpa belonged. Mindroling is headed by the Minling Trichen and the Minling Khenchen. Traditionally the two are brothers, direct descendents of Terdak Lingpa; the Trichen being a layman and father of the next generation, and the Khenchen being ordained, responsible for maintaining observance of the Vinaya.</p>
",Q1585574
11,G11,,Dorje Drak,rdo rje brag,རྡོ་རྗེ་བྲག།,,"Ewam Chokgar; Jang Dorje Drak; Tubten Dorje Drak Ewam Chokgar; , thub bstan rdo rje brag e waM lcog sgar , ",Nyingma,Monastery,1632,,,,,29.32779,91.10756,"<p>
	Dorje Drak is a Nyingma monastery on the bank of the Tsangpo river in central Tibet associated with the Northern Treasures tradition.&nbsp;<a href=""/biographies/view/Ngari-Panchen-Pema-Wanggyel-/TBRC_P1699"">Ngari Panchen Pema Wanggyel</a>&nbsp;stayed there in1540s, at the time it was known as&nbsp;Evaṁ Chokgar. It relocated to its present location in 1632 under the leadership of the <a href=""/biographies/view/Third-Dorje-Drak-Rigdzin-Ngakgi-Wangpo/TBRC_p639"">Third Dorje Drak Rigdzin Ngakgi Wangpo</a>. The monastery was sacked by the Dzungar army in 1717 and later restored. It is considered one of the six Mother monasteries of the Nyingma tradition.</p>
",Q1245413
12,G16,,Dzogchen Monastery,rdzogs chen dgon,རྫོགས་ཆེན་དགོན།,竹庆寺,"Dzogchen; Derge Dzogchen; Orgyen Samten Choling; Urgyen Samten Choling; Rudam Orgyen Samten Choling; zhuqing si, ru dam o rgyan bsam gtan chos gling, 竹庆寺 ",Nyingma,"Monastery, Temple",1685,,,,,32.13334,98.85,"<p>
	Dzogchen is one of the six most important Nyingma monasteries of Tibet. It was established in 1685 in Derge area on the orders of the <a href=""/biographies/view/Fifth-Dalai-Lama/TBRC_P37"">Fifth Dalai Lama</a> who sent the&nbsp;<a href=""/biographies/view/First-Dzogchen-Drubwang-Pema-Rigdzin/TBRC_P653"">First Dzogchen Drubwang Pema Rigdzin</a> to spread Buddhism in Kham. <a href=""/biographies/view/Sanggye-Tenpa/TBRC_P5082"">Sanggye Tenpa</a>, the third abbot of Derge&#39;s royal monastery, <a href=""/geographies/view/Lhundrubteng/TBRC_g193"">Lhundrubteng</a>, was a major sponsor. Famous for its <a href=""/geographies/view/Śrī-Siṃha-College/TBRC_g3219"">Śrī Siṃha College</a>, it was largely destroyed in the twentieth century but has since been rebuilt. It is the seat of the <a href=""/incarnation/view/Dzogchen-Drubwang/TBRC_R8LS13052"">Dzogchen Drubwang</a>, <a href=""/incarnation/view/Dzogchen-Ponlop/TBRC_R8LS13056"">Dzogchen Ponlop</a>, <a href=""/incarnation/view/Dzogchen-Kongtrul/TBRC_R8LS13177"">Dzogchen Kongtrul</a> and <a href=""/incarnation/view/Dzogchen-Khyentse/TBRC_R8LS13178"">Dzogchen Khyentse</a> incarnation lines.</p>
",
13,G20,,Shechen,zhe chen,ཞེ་ཆེན།,,"Zhechen; Shechen Tennyi Dargyeling; Zhechen Monastery; Shechen Gon; xieqing si, 协庆寺 ",Nyingma,Monastery,1734,,,,,32.2663743,98.8857244,"<p>
	Shechen, one of the six Mother monasteries of the Nyingma tradition, was founded by the Second Shechen Rabjam, <a href=""/biographies/view/Gyurme-Kunzang-Namgyel/TBRC_P690"">Gyurme Kunzang Namgyel</a>, in 1734 or 1735. It is located north of Dzogchen monastery in the Derge region of Kham. According to one monastic history (khams phyogs dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus), in 1690 at the age of forty-one, the First Shechen, Rabjam Tenpai Gyeltsen, founded a monastery named Shechen Orgyen Chodzong, consisting of a monks quarters and main assembly hall, not far from Dzogchen. The Second Shechen Rabjam established an extension across from the original site that grew into the Shechen known today.</p>
",Q1552180
14,G18,,Pelyul Monastery,dpal yul,དཔལ་ཡུལ།,,"Pelyul Monastery; Payul; Palyul Gonpa Namgyal Jangchubling; baiyu si, dpal yul dgon; rnam rgyal byang chub gling; dpal yul rnam rgyal byang chub gling; dpal yul rnam rgyal byang chub chos gling; rnam rgyal rtse sngar yod dgon chung;, 白玉寺 ",Nyingma,Monastery,1665,,,,,31.2157,98.82179,"<p>
	Pelyul Namgyel Jangchub Ling, one of the six mother-monasteries of the Nyingma tradition, was established in southern Derge in 1665 by <a href=""/biographies/view/Rigdzin-Kunzang-Sherab/TBRC_P655"">Rigdzin Kunzang Sherab</a> under the sponsorship of the <a href=""/geographies/view/Gonchen/TBRC_g193"">Derge Gonchen</a> abbot <a href=""/biographies/view/Lachen-Jampa-Puntsok/TBRC_P1AG76"">Lachen Jampa Puntsok</a>.</p>
",
15,G3429,,Sekhar Gutok,sras mkhar dgu thog,སྲས་མཁར་དགུ་ཐོག།,色喀古陀寺,"Sekhar Guthok, 塞卡尔古陀寺; 色喀古陀寺 ","Geluk, Karma Kagyu, Marpa Kagyu",Monastery,,,,,,28.179,90.828,"<p>
	Sekhar Gutok is a small monastery in Lhodrak built around a nine-story tower in that <a href=""/biographies/view/Milarepa/TBRC_P1853"">Milarepa</a> is said to have built as an act of penance for his teacher <a href=""/biographies/view/Marpa/TBRC_P2636"">Marpa</a>. Once the seat of the <a href=""/incarnation/view/Pawo/TBRC_R8LS12784"">Pawo</a> incarnation line, it was converted to the Geluk tradition in the seventeenth century.</p>
",
21,G4202,,Zhung Treuzhing,gzhung spre'u zhing,གཞུང་སྤྲེའུ་ཞིང་།,,"Zung Trezhing; Zhuntrelzhing; xiong zhixing si, 雄直兴寺 ",Marpa Kagyu,Monastery,1150,,,,,29.21477,90.96158,"<p>
	Zhung Treuzhing, a Kagyu monastery located in Gongkar county, was founded by <a href=""/biographies/view/Ngok-Kunga-Dorje/TBRC_P8729"">Ngok Kunga Dorje</a> in the twelfth century near the site of a hermitage visited by his uncle, <a href=""/biographies/view/Ngok-Choku-Dorje/TBRC_P1289"">Ngok Choku Dorje</a>, a disciple of <a href=""/biographies/view/Marpa/TBRC_P2636"">Marpa Chokyi Lodro</a>. It is said that Marpa&#39;s skull was located within a stupa&nbsp;at this monastery, which was the seat of lamas in the Ngok lineage.</p>
",
32,G211,,Ngor Ewaṃ Choden,ngor e waM chos ldan,ངོར་ཨེ་ཝཾ་ཆོས་ལྡན།,,"Ngor Monastery; e-er si; aiwang quedan si, 俄尔寺; 艾旺却丹寺 ",Sakya,Monastery,1429,,,,,29.1191914,88.8254028,"<p>
	Ngor Ewaṃ Choden near Shigatse in Tsang was founded in 1429 by <a href=""/biographies/view/Ngorchen-Kunga-Zangpo/TBRC_P1132"">Ngorchen Kunga Zangpo</a>. Ngor is part of the Sakya tradition, following the same doctrinal and ritual tradition, but it maintains administrative independence from <a href=""/geographies/view/Sakya-Monastery/TBRC_G880"">Sakya Monastery</a>. The monastery is divided into four monastic estates from which its leadership is drawn: <a href=""/geographies/view/Luding/TBRC_TOL1620"">Luding</a>, <a href=""/geographies/view/Khangsar/TBRC_TOL1619"">Khangsar</a>, <a href=""/geographies/view/Tartse/TBRC_G2CN10992"">Tartse</a>, and <a href=""/geographies/view/Pende/TBRC_TOL1618"">Pende</a>.&nbsp;</p>
<p>
	Note: tenure dates are drawn from Heimbel 2017. Some dates are provisional.&nbsp;</p>
",Q1984279
33,G1KR1565,,Dar Drangmoche,dar grong mo che,དར་གྲོང་མོ་ཆེ།,,"Dar Drangmoche Chokhor Yangtse, dar grang mo che; mdar grang mo che; 'dar grang mo che chos 'khor yang rtse , ",Sakya,Monastery,,,,,,29.08333,87.63333,"<p>
	Dar Drangmoche Monastery, in Lhartse, Tsang, was founded in the mid-sixteenth century by <a href=""/biographies/view/Tsarchen-Losel-Gyatso/TBRC_P786"">Tsarchen Losel Gyatso</a>, the founder of the Tsarpa branch of the Sakya tradition.</p>
",
