tol_id,tbrc_id,branch_of,primary_name,wylie_name,tibetan_name,chinese_name,name_variants,traditions,place_types,founded_date,founded_date_approximate,founded_date_alternate,founded_century,existed_by_century,lat,long,description,wikidata_id
15.0,G3429,,Sekhar Gutok,sras mkhar dgu thog,སྲས་མཁར་དགུ་ཐོག།,色喀古陀寺,"Sekhar Guthok, 塞卡尔古陀寺; 色喀古陀寺 ","Geluk, Karma Kagyu, Marpa Kagyu",Monastery,,,,,,28.179,90.828,"<p>
	Sekhar Gutok is a small monastery in Lhodrak built around a nine-story tower in that <a href=""/biographies/view/Milarepa/TBRC_P1853"">Milarepa</a> is said to have built as an act of penance for his teacher <a href=""/biographies/view/Marpa/TBRC_P2636"">Marpa</a>. Once the seat of the <a href=""/incarnation/view/Pawo/TBRC_R8LS12784"">Pawo</a> incarnation line, it was converted to the Geluk tradition in the seventeenth century.</p>
",
45.0,G2043,,Zha Lhakhang,zhwa'i lha khang,ཞྭའི་ལྷ་ཁང་།,,"Zhai Lhakhang; Zhwai Lhakhang; Zhva Lhakhang; Zhwa Lhakhang; xia lakang; xiang lakang si, 霞拉康; 香拉康寺 ","Drigung Kagyu, Geluk, Nyingma",Temple,798.0,,,,,29.97151,91.9455,"<p>
	The Zha Lhakhang, a small temple north of Lhasa, was constructed by <a href=""/biographies/view/Nyang-Tingdzin-Zangpo/TBRC_P3827"">Nyang Tingdzin Zangpo</a> around the late eighth century or early ninth century on land given to him by <a href=""/biographies/view/Tride-Songtsen/TBRC_P8LS13667"">Tride Songtsen</a>. According to legend, <a href=""/biographies/view/Vimalamitra-/TBRC_P5011"">Vimalamitra </a>concealed Dzogchen teachings there which were then discovered by <a href=""/biographies/view/Dangma-Lungyal-/TBRC_P0RK1221"">Dangma Lungyal</a>&nbsp;in the eleventh century. Zha Lhakang was converted from Nyingma to Drigung Kagyu, and later to Geluk. It is currently affiliated with <a href=""/geographies/view/Sera-Je/TBRC_G155"">Sera Je</a>.</p>
<p>
	&nbsp;</p>
",
60.0,G3JT12623,,Tsike,rtsi ke,རྩི་ཀེ།,,", rtsi ske nor bu gling; rtsi ke nor bu gling, 纳唐寺; 那唐寺 ",Nyingma,Monastery,,,,,,32.0395,96.9928,"<p>
	Tsike, a Nyingma monastery in Chamdo, was founded by <a href=""/biographies/view/Chokgyur-Lingpa/TBRC_P564"">Chokgyur Lingpa</a> in the mid nineteenth century. It is the seat of the <a href=""/incarnation/view/Tsike-Chokling/TBRC_R8LS18185"">Tsike Chokling</a>, also known as the Kela Chokling.</p>
<p>
	&nbsp;</p>
",
75.0,,,Lhachuk,lha phyug,ལྷ་ཕྱུག།,, ,Tselpa Kagyu,Monastery,1193.0,,,,,,,"<p>
	Lhachuk was a small Tselpa Kagyu monastery in central Tibet. It was founded by <a href=""/biographies/view/Lhachuk-Kharwa-Nyida-O/TBRC_p4139"">Lhachuk Kharwa Nyida O</a> in 1193, and remained an important center until at least the fifteenth century.</p>
",
76.0,,,Jupu Monastery,ju phu dgon,འཇུ་ཕུ་དགོན།,,Juphu ,Tselpa Kagyu,Monastery,1187.0,,,,,,,"<p>
	Jupu, a Tselpa Kagyu monastery, was founded in 1187 by <a href=""/biographies/view/Lhachuk-Kharwa-Nyida-O/TBRC_P4139"">Lhachuk Kharwa Nyida O</a>, one of the four main disciples of <a href=""/biographies/view/Lama-Zhang-Yudrakpa/TBRC_P1857"">Lama Zhang Yudrakpa</a>.</p>
<p>
	&nbsp;</p>
",
85.0,G521,,Shukseb,shug gseb,ཤུག་གསེབ།,,"Shukseb Gon; xiuse si; xiongse si, snye phu shug gseb dgon, 休色寺; 雄色寺 ","Geluk, Nyingma, Shukseb Kagyu",Nunnery,1181.0,,,,,29.43349,91.00433,"<p>
	Shukseb was originally founded by <a href=""/biographies/view/Gyergom-Tsultrim-Sengge/TBRC_P00AG02484"">Gyergom Tsultrim Sengge</a> as a Shukseb Kagyu monastery near Lhasa in 1181. It was at some point taken over by the Geluk school but later grew into a signigicant nunnery focused on Nyingma and Kagyu teachings through the efforts of <a href=""/biographies/view/Jetsun-Choying-Zangmo/TBRC_P183"">Jetsun Choying Zangmo</a>, a female adept who settled at Shukseb in the early twentieth century. Shuksheb Nunnery has been re-established in exile near Dharamsala in northern India.</p>
",
92.0,G4605,,Nyetang Drolma Lhakang,snye thang sgrol ma lha khang,སྙེ་ཐང་སྒྲོལ་མ་ལྷ་ཁང།,聂塘卓玛拉康,"nietang zhuoma lakang, ",Kadam,Temple,1055.0,,,,,29.5458,90.95469,"<p>
	Nyetang Drolma Lhakhang, to the southwest of Lhasa, was founded as a Kadam monastery in 1055, a year after the Bengali master <a href=""/biographies/view/Atisha/TBRC_P3379"">Atisha</a> passed away in Nyetang. It currently houses several of Atisha&#39;s personal relics, including his begging bowl.</p>
",
98.0,,,Palung,dpa' lung,དཔའ་ལུང།,, ,Sakya,Monastery,,,,,,,,"<p>
	Palung appears to have been a small monastery, presumably Sakya, near <a href=""/geographies/view/Sakya-Monastery./TBRC_G880"">Sakya Monastery.</a> <a href=""/biographies/view/Gorumpa-Kunga-Lekpa/TBRC_P3507"">Gorumpa Kunga Lekpa</a> was born there in 1477.</p>
",
106.0,,,Chokhor Tse,chos 'khor rtse,ཆོས་འཁོར་རྩེ།,, ,Jonang,Monastery,,,,,,,,"<p>
	Chokhor Tse was in existence by at least 1531 when <a href=""/biographies/view/Kunga-Pelzang/TBRC_P2MS4764"">Kunga Pelzang</a> received Lamdre teachings here from <a href=""/biographies/view/Panchen-Dorje-Gyeltsen/TBRC_P1966"">Paṇchen Dorje Gyeltsen</a>. It seems to have been in U.&nbsp;</p>
",
108.0,,,Puntsok Samten Ling,phun tshogs bsam gtan gling,ཕུན་ཚོགས་བསམ་གཏན་གླིང།,, ,Sakya,Monastery,,,,,,,,"<p>
	Puntsok Samten Ling, a Sakya monastery in Mustang, was in existence by at least the 16th century when <a href=""/biographies/view/Kunga-Pelzang/TBRC_P2MS4764"">Kunga Pelzang</a> was installed on the monastic seat there in 1541.&nbsp;</p>
<p>
	&nbsp;</p>
",
